Label (Grouping),Massachusetts!!Total!!Estimate,Massachusetts!!Total!!Margin of Error,Massachusetts!!Percent!!Estimate,Massachusetts!!Percent!!Margin of Error,Massachusetts!!Male!!Estimate,Massachusetts!!Male!!Margin of Error,Massachusetts!!Percent Male!!Estimate,Massachusetts!!Percent Male!!Margin of Error,Massachusetts!!Female!!Estimate,Massachusetts!!Female!!Margin of Error,Massachusetts!!Percent Female!!Estimate,Massachusetts!!Percent Female!!Margin of Error,"Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Total!!Margin of Error","Boston city, Massachusetts!!Percent!!Estimate","Boston city, Massachusetts!!Percent!!Margin of Error","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Male!!Margin of Error","Boston city, Massachusetts!!Percent Male!!Estimate","Boston city, Massachusetts!!Percent Male!!Margin of Error","Boston city, Massachusetts!!Female!!Estimate","Boston city, Massachusetts!!Female!!Margin of Error","Boston city, Massachusetts!!Percent Female!!Estimate","Boston city, Massachusetts!!Percent Female!!Margin of Error"
    Less than high school graduate,(X),(X),24.00%,1.6,(X),(X),19.50%,1.9,(X),(X),28.90%,2.2,(X),(X),30.90%,4.2,(X),(X),22.40%,5.6,(X),(X),37.50%,5.7
    High school graduate (includes equivalency),(X),(X),12.80%,0.7,(X),(X),10.40%,1,(X),(X),15.50%,1,(X),(X),20.90%,3.2,(X),(X),19.90%,4.4,(X),(X),22.10%,4.4
    Some college or associate's degree,(X),(X),9.20%,0.6,(X),(X),7.00%,0.8,(X),(X),11.10%,0.7,(X),(X),15.80%,3.2,(X),(X),12.70%,3.9,(X),(X),18.70%,4.1
    Bachelor's degree or higher,(X),(X),4.10%,0.2,(X),(X),3.10%,0.3,(X),(X),4.90%,0.4,(X),(X),6.00%,1,(X),(X),4.60%,1,(X),(X),7.10%,1.5
MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2024 INFLATION-ADJUSTED DOLLARS),,,,,,,,,,,,,,,,,,,,,,,,
    Population 25 years and over with earnings,"66,968",594,(X),(X),"75,410",830,(X),(X),"60,310",628,(X),(X),"71,150","1,817",(X),(X),"71,865","2,803",(X),(X),"70,288","4,223",(X),(X)
        Less than high school graduate,"37,840","1,634",(X),(X),"41,922","1,475",(X),(X),"30,767","1,061",(X),(X),"32,709","6,744",(X),(X),"40,934","7,004",(X),(X),"30,137","7,330",(X),(X)
        High school graduate (includes equivalency),"46,742",833,(X),(X),"52,220",843,(X),(X),"39,860","1,382",(X),(X),"41,118","1,347",(X),(X),"42,080","2,207",(X),(X),"36,630","3,662",(X),(X)
        Some college or associate's degree,"52,218",568,(X),(X),"61,509",799,(X),(X),"46,090","1,270",(X),(X),"50,144","3,956",(X),(X),"50,235","4,853",(X),(X),"50,007","7,188",(X),(X)
        Bachelor's degree,"81,784",620,(X),(X),"98,496","3,269",(X),(X),"70,284","1,014",(X),(X),"87,412","5,183",(X),(X),"102,274","8,167",(X),(X),"81,302","2,945",(X),(X)
        Graduate or professional degree,"100,565",582,(X),(X),"122,274","2,017",(X),(X),"89,680","1,595",(X),(X),"96,802","5,798",(X),(X),"101,819","4,859",(X),(X),"91,764","3,460",(X),(X)
